date,success,cached,missing
2021-01-01,True,False,False
2021-01-02,True,False,False
2021-01-03,True,False,False
2021-01-04,True,False,False
2021-01-05,True,False,False
2021-01-06,True,False,False
2021-01-07,True,False,False
2021-01-08,True,False,False
2021-01-09,True,False,False
2021-01-10,True,False,False
2021-01-11,True,False,False
2021-01-12,True,False,False
2021-01-13,True,False,False
2021-01-14,True,False,False
2021-01-15,True,False,False
2021-01-16,True,False,False
2021-01-17,True,False,False
2021-01-18,True,False,False
2021-01-19,True,False,False
2021-01-20,True,False,False
2021-01-21,True,False,False
2021-01-22,True,False,False
2021-01-23,True,False,False
2021-01-24,True,False,False
2021-01-25,True,False,False
2021-01-26,True,False,False
2021-01-27,True,False,False
2021-01-28,True,False,False
2021-01-29,True,False,False
2021-01-30,True,False,False
2021-01-31,True,False,False
2021-02-01,True,False,False
2021-02-02,True,False,False
2021-02-03,True,False,False
2021-02-04,True,False,False
2021-02-05,True,False,False
2021-02-06,True,False,False
2021-02-07,True,False,False
2021-02-08,True,False,False
2021-02-09,True,False,False
2021-02-10,True,False,False
2021-02-11,True,False,False
2021-02-12,True,False,False
2021-02-13,True,False,False
2021-02-14,True,False,False
2021-02-15,True,False,False
2021-02-16,True,False,False
2021-02-17,True,False,False
2021-02-18,True,False,False
2021-02-19,True,False,False
2021-02-20,True,False,False
2021-02-21,True,False,False
2021-02-22,True,False,False
2021-02-23,True,False,False
2021-02-24,True,False,False
2021-02-25,True,False,False
2021-02-26,True,False,False
2021-02-27,True,False,False
2021-02-28,True,False,False
2021-03-01,True,False,False
2021-03-02,True,False,False
2021-03-03,True,False,False
2021-03-04,True,False,False
2021-03-05,True,False,False
2021-03-06,True,False,False
2021-03-07,True,False,False
2021-03-08,True,False,False
2021-03-09,True,False,False
2021-03-10,True,False,False
2021-03-11,True,False,False
2021-03-12,True,False,False
2021-03-13,True,False,False
2021-03-14,True,False,False
2021-03-15,True,False,False
2021-03-16,True,False,False
2021-03-17,True,False,False
2021-03-18,True,False,False
2021-03-19,True,False,False
2021-03-20,True,False,False
2021-03-21,True,False,False
2021-03-22,True,False,False
2021-03-23,True,False,False
2021-03-24,True,False,False
2021-03-25,True,False,False
2021-03-26,True,False,False
2021-03-27,True,False,False
2021-03-28,True,False,False
2021-03-29,True,False,False
2021-03-30,True,False,False
2021-03-31,True,False,False
2021-04-01,True,False,False
2021-04-02,True,False,False
2021-04-03,True,False,False
2021-04-04,True,False,False
2021-04-05,True,False,False
2021-04-06,True,False,False
2021-04-07,True,False,False
2021-04-08,True,False,False
2021-04-09,True,False,False
2021-04-10,True,False,False
2021-04-11,True,False,False
2021-04-12,True,False,False
2021-04-13,True,False,False
2021-04-14,True,False,False
2021-04-15,True,False,False
2021-04-16,True,False,False
2021-04-17,True,False,False
2021-04-18,True,False,False
2021-04-19,True,False,False
2021-04-20,True,False,False
2021-04-21,True,False,False
2021-04-22,True,False,False
2021-04-23,True,False,False
2021-04-24,True,False,False
2021-04-25,True,False,False
2021-04-26,True,False,False
2021-04-27,True,False,False
2021-04-28,True,False,False
2021-04-29,True,False,False
2021-04-30,True,False,False
2021-05-01,True,False,False
2021-05-02,True,False,False
2021-05-03,True,False,False
2021-05-04,True,False,False
2021-05-05,True,False,False
2021-05-06,True,False,False
2021-05-07,True,False,False
2021-05-08,True,False,False
2021-05-09,True,False,False
2021-05-10,True,False,False
2021-05-11,True,False,False
2021-05-12,True,False,False
2021-05-13,True,False,False
2021-05-14,True,False,False
2021-05-15,True,False,False
2021-05-16,True,False,False
2021-05-17,True,False,False
2021-05-18,True,False,False
2021-05-19,True,False,False
2021-05-20,True,False,False
2021-05-21,True,False,False
2021-05-22,True,False,False
2021-05-23,True,False,False
2021-05-24,True,False,False
2021-05-25,True,False,False
2021-05-26,True,False,False
2021-05-27,True,False,False
2021-05-28,True,False,False
2021-05-29,True,False,False
2021-05-30,True,False,False
2021-05-31,True,False,False
2021-06-01,True,False,False
2021-06-02,True,False,False
2021-06-03,True,False,False
2021-06-04,True,False,False
2021-06-05,True,False,False
2021-06-06,True,False,False
2021-06-07,True,False,False
2021-06-08,True,False,False
2021-06-09,True,False,False
2021-06-10,True,False,False
2021-06-11,True,False,False
2021-06-12,True,False,False
2021-06-13,True,False,False
2021-06-14,True,False,False
2021-06-15,True,False,False
2021-06-16,True,False,False
2021-06-17,True,False,False
2021-06-18,True,False,False
2021-06-19,True,False,False
2021-06-20,True,False,False
2021-06-21,True,False,False
2021-06-22,True,False,False
2021-06-23,True,False,False
2021-06-24,True,False,False
2021-06-25,True,False,False
2021-06-26,True,False,False
2021-06-27,True,False,False
2021-06-28,True,False,False
2021-06-29,True,False,False
2021-06-30,True,False,False
2021-07-01,True,False,False
2021-07-02,True,False,False
2021-07-03,True,False,False
2021-07-04,True,False,False
2021-07-05,True,False,False
2021-07-06,True,False,False
2021-07-07,True,False,False
2021-07-08,True,False,False
2021-07-09,True,False,False
2021-07-10,True,False,False
2021-07-11,True,False,False
2021-07-12,True,False,False
2021-07-13,True,False,False
2021-07-14,True,False,False
2021-07-15,True,False,False
2021-07-16,True,False,False
2021-07-17,True,False,False
2021-07-18,True,False,False
2021-07-19,True,False,False
2021-07-20,True,False,False
2021-07-21,True,False,False
2021-07-22,True,False,False
2021-07-23,True,False,False
2021-07-24,True,False,False
2021-07-25,True,False,False
2021-07-26,True,False,False
2021-07-27,True,False,False
2021-07-28,True,False,False
2021-07-29,True,False,False
2021-07-30,True,False,False
2021-07-31,True,False,False
2021-08-01,True,False,False
2021-08-02,True,False,False
2021-08-03,True,False,False
2021-08-04,True,False,False
2021-08-05,True,False,False
2021-08-06,True,False,False
2021-08-07,True,False,False
2021-08-08,True,False,False
2021-08-09,True,False,False
2021-08-10,True,False,False
2021-08-11,True,False,False
2021-08-12,True,False,False
2021-08-13,True,False,False
2021-08-14,True,False,False
2021-08-15,True,False,False
2021-08-16,True,False,False
2021-08-17,True,False,False
2021-08-18,True,False,False
2021-08-19,True,False,False
2021-08-20,True,False,False
2021-08-21,True,False,False
2021-08-22,True,False,False
2021-08-23,True,False,False
2021-08-24,True,False,False
2021-08-25,True,False,False
2021-08-26,True,False,False
2021-08-27,True,False,False
2021-08-28,True,False,False
2021-08-29,True,False,False
2021-08-30,True,False,False
2021-08-31,True,False,False
2021-09-01,True,False,False
2021-09-02,True,False,False
2021-09-03,True,False,False
2021-09-04,True,False,False
2021-09-05,True,False,False
2021-09-06,True,False,False
2021-09-07,True,False,False
2021-09-08,True,False,False
2021-09-09,True,False,False
2021-09-10,True,False,False
2021-09-11,True,False,False
2021-09-12,True,False,False
2021-09-13,True,False,False
2021-09-14,True,False,False
2021-09-15,True,False,False
2021-09-16,True,False,False
2021-09-17,True,False,False
2021-09-18,True,False,False
2021-09-19,True,False,False
2021-09-20,True,False,False
2021-09-21,True,False,False
2021-09-22,True,False,False
2021-09-23,True,False,False
2021-09-24,True,False,False
2021-09-25,True,False,False
2021-09-26,True,False,False
2021-09-27,True,False,False
2021-09-28,True,False,False
2021-09-29,True,False,False
2021-09-30,True,False,False
2021-10-01,True,False,False
2021-10-02,True,False,False
2021-10-03,True,False,False
2021-10-04,True,False,False
2021-10-05,True,False,False
2021-10-06,True,False,False
2021-10-07,True,False,False
2021-10-08,True,False,False
2021-10-09,True,False,False
2021-10-10,True,False,False
2021-10-11,True,False,False
2021-10-12,True,False,False
2021-10-13,True,False,False
2021-10-14,True,False,False
2021-10-15,True,False,False
2021-10-16,True,False,False
2021-10-17,True,False,False
2021-10-18,True,False,False
2021-10-19,True,False,False
2021-10-20,True,False,False
2021-10-21,True,False,False
2021-10-22,True,False,False
2021-10-23,True,False,False
2021-10-24,True,False,False
2021-10-25,True,False,False
2021-10-26,True,False,False
2021-10-27,True,False,False
2021-10-28,True,False,False
2021-10-29,True,False,False
2021-10-30,True,False,False
2021-10-31,True,False,False
2021-11-01,True,False,False
2021-11-02,True,False,False
2021-11-03,True,False,False
2021-11-04,True,False,False
2021-11-05,True,False,False
2021-11-06,True,False,False
2021-11-07,True,False,False
2021-11-08,True,False,False
2021-11-09,True,False,False
2021-11-10,True,False,False
2021-11-11,True,False,False
2021-11-12,True,False,False
2021-11-13,True,False,False
2021-11-14,True,False,False
2021-11-15,True,False,False
2021-11-16,True,False,False
2021-11-17,True,False,False
2021-11-18,True,False,False
2021-11-19,True,False,False
2021-11-20,True,False,False
2021-11-21,True,False,False
2021-11-22,True,False,False
2021-11-23,True,False,False
2021-11-24,True,False,False
2021-11-25,True,False,False
2021-11-26,True,False,False
2021-11-27,True,False,False
2021-11-28,True,False,False
2021-11-29,True,False,False
2021-11-30,True,False,False
2021-12-01,True,False,False
2021-12-02,True,False,False
2021-12-03,True,False,False
2021-12-04,True,False,False
2021-12-05,True,False,False
2021-12-06,True,False,False
2021-12-07,True,False,False
2021-12-08,True,False,False
2021-12-09,True,False,False
2021-12-10,True,False,False
2021-12-11,True,False,False
2021-12-12,True,False,False
2021-12-13,True,False,False
2021-12-14,True,False,False
2021-12-15,True,False,False
2021-12-16,True,False,False
2021-12-17,True,False,False
2021-12-18,True,False,False
2021-12-19,True,False,False
2021-12-20,True,False,False
2021-12-21,True,False,False
2021-12-22,True,False,False
2021-12-23,True,False,False
2021-12-24,True,False,False
2021-12-25,True,False,False
2021-12-26,True,False,False
2021-12-27,True,False,False
2021-12-28,True,False,False
2021-12-29,True,False,False
2021-12-30,True,False,False
2021-12-31,True,False,False
